"June 30, 2015 at 09:16AM","entered"
"July 01, 2015 at 08:38AM","entered"
"July 01, 2015 at 01:45PM","exited"
"July 01, 2015 at 02:56PM","entered"
"July 01, 2015 at 03:07PM","entered"
"July 01, 2015 at 08:52PM","exited"
"July 11, 2015 at 06:40PM","exited"
"July 20, 2015 at 09:14AM","entered"
"July 20, 2015 at 09:21AM","entered"
"July 20, 2015 at 06:53PM","exited"
"July 21, 2015 at 09:23AM","entered"
"July 21, 2015 at 12:50PM","entered"
"July 21, 2015 at 12:57PM","entered"
"July 21, 2015 at 01:04PM","entered"
"July 21, 2015 at 01:10PM","entered"
"July 21, 2015 at 05:43PM","exited"
"July 22, 2015 at 10:07AM","entered"
"July 23, 2015 at 08:00PM","exited"
"July 24, 2015 at 08:48AM","entered"
"July 24, 2015 at 04:02PM","entered"
"July 24, 2015 at 06:30PM","exited"
"July 24, 2015 at 06:32PM","entered"
"July 24, 2015 at 07:11PM","entered"
"July 24, 2015 at 07:31PM","entered"
"July 24, 2015 at 07:34PM","exited"
"July 24, 2015 at 07:36PM","entered"
"July 24, 2015 at 08:05PM","exited"
"July 27, 2015 at 08:21AM","entered"
"July 29, 2015 at 08:49AM","entered"
"July 29, 2015 at 07:40PM","exited"
"July 30, 2015 at 09:04AM","entered"
"July 30, 2015 at 12:24PM","entered"
"July 31, 2015 at 08:41AM","entered"
"July 31, 2015 at 11:41PM","entered"
"August 03, 2015 at 12:24PM","entered"
"August 03, 2015 at 12:54PM","entered"
"August 03, 2015 at 03:41PM","entered"
"August 03, 2015 at 04:19PM","entered"
"August 03, 2015 at 06:54PM","exited"
"August 04, 2015 at 08:22AM","entered"
"August 04, 2015 at 07:27PM","exited"
"August 05, 2015 at 08:55AM","entered"
"August 05, 2015 at 07:25PM","exited"
"August 06, 2015 at 09:22AM","entered"
"August 06, 2015 at 07:40PM","exited"
"August 07, 2015 at 05:00PM","exited"
"August 07, 2015 at 05:03PM","entered"
"August 07, 2015 at 11:32PM","exited"
"August 08, 2015 at 12:11PM","entered"
"August 10, 2015 at 09:34AM","entered"
"August 10, 2015 at 07:39PM","exited"
"August 11, 2015 at 01:10AM","entered"
"August 11, 2015 at 01:15AM","exited"
"August 11, 2015 at 09:02AM","entered"
"October 24, 2015 at 07:49PM","exited"
"October 27, 2015 at 08:26AM","entered"
"October 27, 2015 at 12:33PM","entered"
"October 27, 2015 at 08:42PM","exited"
"October 28, 2015 at 07:15PM","exited"
"October 29, 2015 at 08:55AM","entered"
"October 29, 2015 at 04:35PM","exited"
"October 30, 2015 at 08:46AM","entered"
"October 30, 2015 at 05:23PM","entered"
"October 30, 2015 at 06:08PM","exited"
"October 30, 2015 at 06:41PM","entered"
"November 04, 2015 at 03:28PM","entered"
"November 04, 2015 at 06:27PM","exited"
"November 05, 2015 at 08:52AM","entered"
"November 05, 2015 at 09:54AM","exited"
"November 05, 2015 at 12:37PM","entered"
"November 05, 2015 at 08:11PM","exited"
"November 06, 2015 at 02:58AM","entered"
"November 06, 2015 at 03:02AM","exited"
"November 06, 2015 at 08:54AM","entered"
"November 06, 2015 at 02:02PM","exited"
"November 08, 2015 at 04:48PM","entered"
"November 08, 2015 at 06:41PM","exited"
"November 09, 2015 at 08:12AM","entered"
"November 10, 2015 at 08:29AM","entered"
"November 10, 2015 at 08:56PM","exited"
"November 11, 2015 at 12:33PM","entered"
"November 11, 2015 at 01:37PM","exited"
"November 11, 2015 at 02:56PM","entered"
"November 11, 2015 at 08:14PM","exited"
"November 12, 2015 at 09:01AM","entered"
"November 12, 2015 at 02:34PM","exited"
"November 12, 2015 at 04:11PM","entered"
"November 12, 2015 at 07:21PM","exited"
"November 13, 2015 at 08:53AM","entered"
"November 13, 2015 at 08:28PM","exited"
"November 14, 2015 at 04:13PM","entered"
"November 18, 2015 at 11:06AM","entered"
"November 18, 2015 at 12:50PM","entered"
"November 18, 2015 at 12:53PM","exited"
"November 18, 2015 at 12:54PM","entered"
"November 18, 2015 at 09:44PM","exited"
"November 19, 2015 at 08:59AM","entered"
"November 19, 2015 at 06:33PM","exited"
"November 20, 2015 at 08:51AM","entered"
"November 20, 2015 at 10:57AM","exited"
"November 20, 2015 at 10:57AM","entered"
"November 20, 2015 at 10:58AM","exited"
"November 20, 2015 at 11:12AM","entered"
"November 20, 2015 at 02:34PM","entered"
"November 20, 2015 at 09:30PM","exited"
"November 23, 2015 at 09:57AM","entered"
"November 23, 2015 at 07:06PM","exited"
"November 24, 2015 at 12:24AM","entered"
"November 24, 2015 at 12:40AM","exited"
"November 24, 2015 at 12:51AM","entered"
"November 24, 2015 at 12:55AM","exited"
"November 24, 2015 at 12:08PM","entered"
"November 25, 2015 at 11:01AM","entered"
"November 26, 2015 at 08:56AM","entered"
"November 26, 2015 at 05:12PM","exited"
"November 26, 2015 at 07:06PM","entered"
