Comment,Cycles,DeepSleep,Framerate,From,Geo,Hours,Id,LenAdjust,Noise,Rating,Sched,Snore,To,Tz
  #home,4,0.36363637,10000,13. 08. 2016 2:33,e065c3d,5.540,1471048430220,-2,0.012083861,0.0,13. 08. 2016 11:00,0,13. 08. 2016 8:06,Europe/Amsterdam
work   #home,5,0.31707317,10000,11. 08. 2016 23:34,e065c3d,7.980,1470951259736,-2,0.002920194,0.0,12. 08. 2016 7:45,0,12. 08. 2016 7:32,Europe/Amsterdam
work   #home,6,0.4698795,10000,11. 08. 2016 0:05,e065c3d,8.040,1470866737679,-2,0.006239209,0.0,11. 08. 2016 7:45,0,11. 08. 2016 8:08,Europe/Amsterdam
work    #home,5,0.53125,10000,10. 08. 2016 0:09,e065c3d,6.440,1470780574003,-2,0.0040191626,0.0,10. 08. 2016 7:45,0,10. 08. 2016 6:36,Europe/Amsterdam
work      #geo3,5,0.7529412,10000,08. 08. 2016 23:38,e0ea5d8,7.100,1470692294488,-2,0.0038937097,0.0,09. 08. 2016 7:45,0,09. 08. 2016 6:44,Europe/Amsterdam
  #home,6,0.46341464,10000,05. 08. 2016 23:08,e065c68,9.130,1470431322015,-2,0.0205356,0.0,08. 08. 2016 7:45,0,06. 08. 2016 8:16,Europe/Amsterdam
work  #newmoon      #home,6,0.44329897,10000,02. 08. 2016 23:53,e065c3d,7.530,1470174791969,-2,0.0035848902,0.0,03. 08. 2016 7:45,0,03. 08. 2016 7:24,Europe/Amsterdam
work     #home,4,0.31325302,10000,01. 08. 2016 23:46,e065c3d,8.110,1470087993145,-2,0.019356072,0.0,02. 08. 2016 7:45,0,02. 08. 2016 7:53,Europe/Amsterdam
work     #home,4,0.43820226,10000,01. 08. 2016 0:40,e065c3d,7.410,1470004807614,-2,0.0061150067,0.0,01. 08. 2016 7:45,0,01. 08. 2016 8:04,Europe/Amsterdam
  #home,3,0.4375,10000,31. 07. 2016 2:35,e065c68,6.670,1469925327311,-2,0.035253562,0.0,01. 08. 2016 7:45,0,31. 07. 2016 9:15,Europe/Amsterdam
  #home,5,0.52577317,10000,30. 07. 2016 1:24,e065c3d,6.500,1469834674118,-2,0.024919154,0.0,01. 08. 2016 7:45,1008,30. 07. 2016 7:54,Europe/Amsterdam
work #dream #stress  #home,6,0.50617284,10000,28. 07. 2016 23:45,e065c60,6.720,1469742308054,-2,0.025315057,0.0,29. 07. 2016 7:45,0,29. 07. 2016 6:28,Europe/Amsterdam
work #alcohol #stress  #home,6,0.50574714,10000,28. 07. 2016 1:04,e065c60,7.250,1469660693530,-2,0.013450009,0.0,28. 07. 2016 7:45,0,28. 07. 2016 8:19,Europe/Amsterdam
work #dream  #home,4,0.5595238,10000,27. 07. 2016 0:28,e065c3d,7.050,1469572107621,-2,0.0032136403,0.0,27. 07. 2016 7:45,0,27. 07. 2016 7:31,Europe/Amsterdam
work   #home,4,0.5714286,10000,26. 07. 2016 0:50,e065c60,6.330,1469487051140,-2,0.0059825974,0.0,26. 07. 2016 8:30,0,26. 07. 2016 7:10,Europe/Amsterdam
work   #home,4,0.45555556,10000,25. 07. 2016 0:57,e065c3d,7.480,1469401076023,-2,0.0066050217,0.0,25. 07. 2016 8:30,0,25. 07. 2016 8:26,Europe/Amsterdam
Manually added,-1,-2.0,10000,23. 07. 2016 8:30,,1.510,1469255411258,0,-1.0,0.0,23. 07. 2016 10:00,-1,23. 07. 2016 10:00,Europe/Amsterdam
  #home,4,0.61904764,10000,23. 07. 2016 0:18,e065c3d,5.860,1469225898836,-2,0.006006629,0.0,25. 07. 2016 7:45,0,23. 07. 2016 6:10,Europe/Amsterdam
work #dream #sick  #home,5,0.4625,10000,21. 07. 2016 23:00,e065c3d,8.920,1469134850898,-2,0.006922308,0.0,22. 07. 2016 7:45,0,22. 07. 2016 7:55,Europe/Amsterdam
