event,timestamp
LIGHT_START,1471048430220
TRACKING_PAUSED,1471048432543
TRACKING_RESUMED,1471048552750
LIGHT_END,1471048631679
DEEP_START,1471048631679
LIGHT_START,1471050646269
DEEP_END,1471050646269
LIGHT_END,1471054071072
DEEP_START,1471054071072
REM_START,1471055288580
REM_END,1471056488580
LIGHT_START,1471056488580
DEEP_END,1471056488580
LIGHT_END,1471061927973
DEEP_START,1471061927973
LIGHT_START,1471063136727
DEEP_END,1471063136727
LIGHT_END,1471065352776
DEEP_START,1471065352776
LIGHT_START,1471066964448
DEEP_END,1471066964448
LIGHT_END,1471068374747
TRACKING_STOPPED_BY_USER,1471068374748
ALARM_EARLIEST,1471077000000
ALARM_LATEST,1471078800000
DEEP_START,1470951259736
TRACKING_PAUSED,1470951261038
TRACKING_RESUMED,1470951381392
REM_START,1470952861504
REM_END,1470954061504
LIGHT_START,1470954061504
DEEP_END,1470954061504
LIGHT_END,1470956863272
DEEP_START,1470956863272
LIGHT_START,1470958264156
DEEP_END,1470958264156
LIGHT_END,1470958964598
DEEP_START,1470958964598
LIGHT_START,1470960365482
DEEP_END,1470960365482
LIGHT_END,1470965268576
DEEP_START,1470965268576
LIGHT_START,1470967019681
DEEP_END,1470967019681
LIGHT_END,1470972623217
DEEP_START,1470972623217
LIGHT_START,1470974374322
DEEP_END,1470974374322
ALARM_EARLIEST,1470979500000
ALARM_STARTED,1470979522443
ALARM_SNOOZE,1470979539236
LIGHT_END,1470979977938
TRACKING_STOPPED_BY_USER,1470979977938
ALARM_LATEST,1470980700000
LIGHT_START,1470866737679
TRACKING_PAUSED,1470866739298
TRACKING_RESUMED,1470866860032
LIGHT_END,1470867435265
DEEP_START,1470867435265
REM_START,1470869025609
REM_END,1470870225609
LIGHT_START,1470870225609
DEEP_END,1470870225609
LIGHT_END,1470870923195
DEEP_START,1470870923195
LIGHT_START,1470872318367
DEEP_END,1470872318367
LIGHT_END,1470873015953
DEEP_START,1470873015953
REM_START,1470874955090
REM_END,1470876155090
LIGHT_START,1470876155090
DEEP_END,1470876155090
LIGHT_END,1470877550262
DEEP_START,1470877550262
REM_START,1470879140606
REM_END,1470880340606
LIGHT_START,1470880340606
DEEP_END,1470880340606
LIGHT_END,1470883828536
DEEP_START,1470883828536
LIGHT_START,1470885921294
DEEP_END,1470885921294
LIGHT_END,1470886270087
DEEP_START,1470886270087
LIGHT_START,1470887665259
DEEP_END,1470887665259
ALARM_EARLIEST,1470893100000
ALARM_STARTED,1470893231062
ALARM_SNOOZE,1470893253601
ALARM_LATEST,1470894300000
ALARM_STARTED,1470895053941
ALARM_SNOOZE,1470895074435
ALARM_STARTED,1470895674503
ALARM_DISMISS,1470895687259
LIGHT_END,1470895687529
LIGHT_START,1470780574003
TRACKING_PAUSED,1470780575330
TRACKING_RESUMED,1470780695659
LIGHT_END,1470781781788
DEEP_START,1470781781788
LIGHT_START,1470783231130
DEEP_END,1470783231130
LIGHT_END,1470784197358
DEEP_START,1470784197358
REM_START,1470785896042
REM_END,1470787096042
LIGHT_START,1470787096042
DEEP_END,1470787096042
LIGHT_END,1470788545384
DEEP_START,1470788545384
REM_START,1470791934967
REM_END,1470793134967
LIGHT_START,1470793134967
DEEP_END,1470793134967
LIGHT_END,1470793376524
DEEP_START,1470793376524
LIGHT_START,1470795067423
DEEP_END,1470795067423
LIGHT_END,1470799898563
DEEP_START,1470799898563
LIGHT_START,1470801589462
DEEP_END,1470801589462
LIGHT_END,1470803763516
TRACKING_STOPPED_BY_USER,1470803763517
ALARM_EARLIEST,1470806700000
ALARM_LATEST,1470807900000
DEEP_START,1470692294488
TRACKING_PAUSED,1470692295612
TRACKING_RESUMED,1470692416373
LIGHT_START,1470694097752
DEEP_END,1470694097752
LIGHT_END,1470694999384
DEEP_START,1470694999384
LIGHT_START,1470697103192
DEEP_END,1470697103192
LIGHT_END,1470698305368
DEEP_START,1470698305368
REM_START,1470700411352
REM_END,1470701611352
LIGHT_START,1470701611352
DEEP_END,1470701611352
LIGHT_END,1470704917336
DEEP_START,1470704917336
REM_START,1470710329304
REM_END,1470711529304
LIGHT_START,1470711529304
DEEP_END,1470711529304
LIGHT_END,1470711829848
DEEP_START,1470711829848
REM_START,1470716039640
REM_END,1470717239640
LIGHT_START,1470717239640
DEEP_END,1470717239640
LIGHT_END,1470717840771
TRACKING_STOPPED_BY_USER,1470717840772
ALARM_EARLIEST,1470720300000
ALARM_LATEST,1470721500000
DEEP_START,1470431322015
TRACKING_PAUSED,1470431323292
TRACKING_RESUMED,1470431444002
LIGHT_START,1470432524232
DEEP_END,1470432524232
LIGHT_END,1470434127188
DEEP_START,1470434127188
REM_START,1470436133100
REM_END,1470437333100
LIGHT_START,1470437333100
DEEP_END,1470437333100
LIGHT_END,1470440939751
DEEP_START,1470440939751
REM_START,1470442144185
REM_END,1470443344185
LIGHT_START,1470443344185
DEEP_END,1470443344185
LIGHT_END,1470445748619
DEEP_START,1470445748619
REM_START,1470448155270
REM_END,1470449355270
LIGHT_START,1470449355270
DEEP_END,1470449355270
LIGHT_END,1470451358965
DEEP_START,1470451358965
REM_START,1470453765616
REM_END,1470454965616
LIGHT_START,1470454965616
DEEP_END,1470454965616
LIGHT_END,1470456167833
DEEP_START,1470456167833
LIGHT_START,1470457370050
DEEP_END,1470457370050
LIGHT_END,1470464182644
TRACKING_STOPPED_BY_USER,1470464182645
LIGHT_START,1470174791969
TRACKING_PAUSED,1470174792839
TRACKING_RESUMED,1470174913217
LIGHT_END,1470178145045
DEEP_START,1470178145045
REM_START,1470179739275
REM_END,1470180939275
LIGHT_START,1470180939275
DEEP_END,1470180939275
LIGHT_END,1470181498121
DEEP_START,1470181498121
LIGHT_START,1470182895236
DEEP_END,1470182895236
LIGHT_END,1470183454082
DEEP_START,1470183454082
LIGHT_START,1470184851197
DEEP_END,1470184851197
LIGHT_END,1470185130620
DEEP_START,1470185130620
REM_START,1470186724850
REM_END,1470187924850
LIGHT_START,1470187924850
DEEP_END,1470187924850
LIGHT_END,1470191557349
DEEP_START,1470191557349
LIGHT_START,1470192954464
DEEP_END,1470192954464
LIGHT_END,1470196028117
DEEP_START,1470196028117
LIGHT_START,1470198263501
DEEP_END,1470198263501
LIGHT_END,1470201896047
TRACKING_STOPPED_BY_USER,1470201896047
ALARM_EARLIEST,1470201900000
ALARM_LATEST,1470203100000
LIGHT_START,1470087993145
TRACKING_PAUSED,1470087994721
TRACKING_RESUMED,1470088115525
LIGHT_END,1470096081992
DEEP_START,1470096081992
REM_START,1470098750571
REM_END,1470099950571
LIGHT_START,1470099950571
DEEP_END,1470099950571
LIGHT_END,1470100653949
