datetime,event
30/06/15 09:16,entered
01/07/15 08:38,entered
01/07/15 13:45,exited
01/07/15 14:56,entered
01/07/15 15:07,entered
01/07/15 20:52,exited
11/07/15 18:40,exited
20/07/15 09:14,entered
20/07/15 09:21,entered
20/07/15 18:53,exited
21/07/15 09:23,entered
21/07/15 12:50,entered
21/07/15 12:57,entered
21/07/15 13:04,entered
21/07/15 13:10,entered
21/07/15 17:43,exited
22/07/15 10:07,entered
23/07/15 20:00,exited
24/07/15 08:48,entered
24/07/15 16:02,entered
24/07/15 18:30,exited
24/07/15 18:32,entered
24/07/15 19:11,entered
24/07/15 19:31,entered
24/07/15 19:34,exited
24/07/15 19:36,entered
24/07/15 20:05,exited
27/07/15 08:21,entered
29/07/15 08:49,entered
29/07/15 19:40,exited
30/07/15 09:04,entered
30/07/15 12:24,entered
31/07/15 08:41,entered
31/07/15 23:41,entered
03/08/15 12:24,entered
03/08/15 12:54,entered
03/08/15 15:41,entered
03/08/15 16:19,entered
03/08/15 18:54,exited
04/08/15 08:22,entered
04/08/15 19:27,exited
05/08/15 08:55,entered
05/08/15 19:25,exited
06/08/15 09:22,entered
06/08/15 19:40,exited
07/08/15 17:00,exited
07/08/15 17:03,entered
07/08/15 23:32,exited
08/08/15 12:11,entered
10/08/15 09:34,entered
10/08/15 19:39,exited
11/08/15 01:10,entered
11/08/15 01:15,exited
11/08/15 09:02,entered
24/10/15 19:49,exited
27/10/15 08:26,entered
27/10/15 12:33,entered
27/10/15 20:42,exited
28/10/15 19:15,exited
29/10/15 08:55,entered
29/10/15 16:35,exited
30/10/15 08:46,entered
30/10/15 17:23,entered
30/10/15 18:08,exited
30/10/15 18:41,entered
04/11/15 15:28,entered
04/11/15 18:27,exited
05/11/15 08:52,entered
05/11/15 09:54,exited
05/11/15 12:37,entered
05/11/15 20:11,exited
06/11/15 02:58,entered
06/11/15 03:02,exited
06/11/15 08:54,entered
06/11/15 14:02,exited
08/11/15 16:48,entered
08/11/15 18:41,exited
09/11/15 08:12,entered
10/11/15 08:29,entered
10/11/15 20:56,exited
11/11/15 12:33,entered
11/11/15 13:37,exited
11/11/15 14:56,entered
11/11/15 20:14,exited
12/11/15 09:01,entered
12/11/15 14:34,exited
12/11/15 16:11,entered
12/11/15 19:21,exited
13/11/15 08:53,entered
13/11/15 20:28,exited
14/11/15 16:13,entered
18/11/15 11:06,entered
18/11/15 12:50,entered
18/11/15 12:53,exited
18/11/15 12:54,entered
18/11/15 21:44,exited
19/11/15 08:59,entered
19/11/15 18:33,exited
20/11/15 08:51,entered
20/11/15 10:58,exited
20/11/15 11:12,entered
20/11/15 14:34,entered
20/11/15 21:30,exited
23/11/15 09:57,entered
23/11/15 19:06,exited
24/11/15 00:24,entered
24/11/15 00:40,exited
24/11/15 00:51,entered
24/11/15 00:55,exited
24/11/15 12:08,entered
25/11/15 11:01,entered
26/11/15 08:56,entered
26/11/15 17:12,exited
26/11/15 19:06,entered
26/11/15 23:01,exited
27/11/15 08:54,entered
27/11/15 20:19,exited
28/11/15 14:31,entered
29/11/15 17:06,entered
29/11/15 17:28,exited
30/11/15 08:49,entered
01/12/15 09:51,entered
01/12/15 18:49,exited
01/12/15 22:39,entered
01/12/15 22:43,exited
02/12/15 09:42,entered
02/12/15 21:07,exited
03/12/15 09:34,entered
03/12/15 22:22,exited
04/12/15 08:54,entered
07/12/15 09:51,entered
07/12/15 09:52,exited
07/12/15 09:53,entered
07/12/15 17:27,exited
07/12/15 17:28,entered
08/12/15 01:08,entered
08/12/15 15:52,entered
08/12/15 17:03,entered
09/12/15 09:18,entered
09/12/15 18:15,exited
09/12/15 23:46,entered
09/12/15 23:49,exited
10/12/15 11:14,entered
11/12/15 08:51,entered
11/12/15 11:06,exited
11/12/15 11:40,entered
11/12/15 18:44,exited
12/12/15 02:30,entered
12/12/15 03:24,exited
13/12/15 16:24,entered
13/12/15 22:00,exited
14/12/15 09:37,entered
15/12/15 22:49,exited
16/12/15 10:29,entered
16/12/15 17:02,entered
16/12/15 20:43,exited
17/12/15 08:57,entered
17/12/15 15:03,exited
18/12/15 13:45,entered
21/12/15 20:23,entered
21/12/15 20:27,exited
21/12/15 22:55,entered
21/12/15 22:56,exited
21/12/15 22:59,entered
21/12/15 23:02,exited
28/12/15 10:43,entered
28/12/15 13:56,entered
28/12/15 18:23,exited
29/12/15 10:24,entered
29/12/15 19:42,exited
30/12/15 09:48,entered
30/12/15 17:10,exited
31/12/15 21:05,entered
31/12/15 23:54,entered
01/01/16 02:24,exited
04/01/16 09:30,entered
04/01/16 20:02,exited
05/01/16 09:18,entered
05/01/16 20:01,exited
08/01/16 08:55,entered
08/01/16 19:24,exited
09/01/16 21:48,entered
09/01/16 22:15,exited
10/01/16 03:54,entered
10/01/16 04:03,exited
11/01/16 09:32,entered
11/01/16 19:03,exited
12/01/16 08:51,entered
12/01/16 22:25,exited
12/01/16 22:49,exited
13/01/16 09:20,entered
13/01/16 13:53,exited
13/01/16 15:25,entered
13/01/16 19:42,exited
14/01/16 09:01,entered
14/01/16 20:53,exited
15/01/16 09:00,entered
15/01/16 19:58,exited
18/01/16 09:56,entered
18/01/16 22:09,exited
19/01/16 10:16,entered
19/01/16 19:13,exited
20/01/16 10:01,entered
20/01/16 15:08,entered
21/01/16 09:09,entered
21/01/16 17:34,exited
22/01/16 08:49,entered
22/01/16 19:15,exited
24/01/16 01:30,entered
24/01/16 01:34,exited
25/01/16 09:12,entered
25/01/16 20:12,exited
26/01/16 08:44,entered
26/01/16 20:52,exited
27/01/16 09:14,entered
27/01/16 19:15,exited
28/01/16 08:53,entered
28/01/16 11:06,exited
28/01/16 11:08,entered
28/01/16 11:12,exited
28/01/16 13:33,entered
28/01/16 14:23,entered
28/01/16 16:44,entered
28/01/16 18:41,exited
29/01/16 23:59,exited
30/01/16 19:57,exited
01/02/16 09:46,entered
01/02/16 19:44,exited
02/02/16 13:21,exited
02/02/16 15:03,entered
02/02/16 19:48,exited
03/02/16 09:18,entered
03/02/16 18:03,exited
04/02/16 08:21,entered
04/02/16 19:09,exited
05/02/16 08:57,entered
05/02/16 18:29,exited
06/02/16 14:10,entered
06/02/16 19:05,exited
08/02/16 09:00,entered
09/02/16 09:14,entered
09/02/16 19:58,exited
10/02/16 09:36,entered
11/02/16 09:34,entered
11/02/16 17:58,exited
12/02/16 17:56,exited
13/02/16 12:51,entered
13/02/16 16:06,exited
13/02/16 21:02,entered
