date,delta
2015-06-30,
2015-07-01,0 days 11:03:00.000000000
2015-07-11,
2015-07-20,0 days 09:39:00.000000000
2015-07-21,0 days 08:20:00.000000000
2015-07-22,
2015-07-23,
2015-07-24,0 days 11:13:00.000000000
2015-07-27,
2015-07-29,0 days 10:51:00.000000000
2015-07-30,
2015-07-31,
2015-08-03,0 days 06:30:00.000000000
2015-08-04,0 days 11:05:00.000000000
2015-08-05,0 days 10:30:00.000000000
2015-08-06,0 days 10:18:00.000000000
2015-08-07,
2015-08-08,
2015-08-10,0 days 10:05:00.000000000
2015-08-11,0 days 00:05:00.000000000
2015-10-24,
2015-10-27,0 days 12:16:00.000000000
2015-10-28,
2015-10-29,0 days 07:40:00.000000000
2015-10-30,0 days 09:22:00.000000000
2015-11-04,0 days 02:59:00.000000000
2015-11-05,0 days 08:36:00.000000000
2015-11-06,0 days 05:12:00.000000000
2015-11-08,0 days 01:53:00.000000000
2015-11-09,
2015-11-10,0 days 12:27:00.000000000
2015-11-11,0 days 06:22:00.000000000
2015-11-12,0 days 08:43:00.000000000
2015-11-13,0 days 11:35:00.000000000
2015-11-14,
2015-11-18,0 days 10:37:00.000000000
2015-11-19,0 days 09:34:00.000000000
2015-11-20,0 days 12:25:00.000000000
2015-11-23,0 days 09:09:00.000000000
2015-11-24,0 days 00:20:00.000000000
2015-11-25,
2015-11-26,0 days 12:11:00.000000000
2015-11-27,0 days 11:25:00.000000000
2015-11-28,
2015-11-29,0 days 00:22:00.000000000
2015-11-30,
2015-12-01,0 days 09:02:00.000000000
2015-12-02,0 days 11:25:00.000000000
2015-12-03,0 days 12:48:00.000000000
2015-12-04,
2015-12-07,0 days 07:35:00.000000000
2015-12-08,
2015-12-09,0 days 09:00:00.000000000
2015-12-10,
2015-12-11,0 days 09:19:00.000000000
2015-12-12,0 days 00:54:00.000000000
2015-12-13,0 days 05:36:00.000000000
2015-12-14,
2015-12-15,
2015-12-16,0 days 10:14:00.000000000
2015-12-17,0 days 06:06:00.000000000
2015-12-18,
2015-12-21,0 days 00:08:00.000000000
2015-12-28,0 days 07:40:00.000000000
2015-12-29,0 days 09:18:00.000000000
2015-12-30,0 days 07:22:00.000000000
2015-12-31,
2016-01-01,
2016-01-04,0 days 10:32:00.000000000
2016-01-05,0 days 10:43:00.000000000
2016-01-08,0 days 10:29:00.000000000
2016-01-09,0 days 00:27:00.000000000
2016-01-10,0 days 00:09:00.000000000
2016-01-11,0 days 09:31:00.000000000
2016-01-12,
2016-01-13,0 days 08:50:00.000000000
2016-01-14,0 days 11:52:00.000000000
2016-01-15,0 days 10:58:00.000000000
2016-01-18,0 days 12:13:00.000000000
2016-01-19,0 days 08:57:00.000000000
2016-01-20,
2016-01-21,0 days 08:25:00.000000000
2016-01-22,0 days 10:26:00.000000000
2016-01-24,0 days 00:04:00.000000000
2016-01-25,0 days 11:00:00.000000000
2016-01-26,0 days 12:08:00.000000000
2016-01-27,0 days 10:01:00.000000000
2016-01-28,0 days 07:25:00.000000000
2016-01-29,
2016-01-30,
2016-02-01,0 days 09:58:00.000000000
2016-02-02,
2016-02-03,0 days 08:45:00.000000000
2016-02-04,0 days 10:48:00.000000000
2016-02-05,0 days 09:32:00.000000000
2016-02-06,0 days 04:55:00.000000000
2016-02-08,
2016-02-09,0 days 10:44:00.000000000
2016-02-10,
2016-02-11,0 days 08:24:00.000000000
2016-02-12,
2016-02-13,0 days 03:59:00.000000000
2016-02-15,0 days 12:55:00.000000000
2016-02-16,0 days 10:31:00.000000000
2016-02-17,0 days 07:50:00.000000000
